age,income,expenses,savings,investment_amount,risk_tolerance,insurance_coverage,target_variable
35,60000,40000,20000,10000,medium,low,250000
45,80000,50000,30000,15000,low,medium,350000
28,45000,35000,10000,5000,high,high,200000
40,70000,45000,25000,12000,medium,medium,300000
50,90000,55000,35000,18000,low,low,400000
33,55000,38000,17000,8000,medium,high,270000
55,100000,60000,40000,20000,low,low,450000
38,65000,42000,23000,11000,medium,medium,320000
48,85000,52000,33000,16000,low,high,420000
30,50000,36000,14000,7000,high,low,240000
42,75000,48000,27000,13000,medium,medium,370000
58,110000,65000,45000,22000,low,high,500000
